symbol,isin,fmv_31jan2018
BANARBEADS,INE655B01011,71.35
BANARISUG,INE459A01010,1918.95
BANCOINDIA,INE213C01025,242.6
BANG,INE863I01016,36.5
BANKBARODA,INE028A01039,161.8
BANKBEES,INF732E01078,2781.5
BANKINDIA,INE084A01016,162.7
BANSAL,INE668X01018,113.4
BANSWRAS,INE629D01012,129.8
BARTRONICS,INE855F01034,14.2
BASF,INE373A01013,2155.95
BASML,INE186H01014,318.25
BATAINDIA,INE176A01028,717.2
BAYERCROP,INE462A01022,4599.95
BBL,INE464A01028,1382.45
BBTC,INE050A01025,1423.5
BCONCEPTS,INE977Y01011,67
BEARDSELL,INE520H01022,65.95
BEDMUTHA,INE844K01012,24.9
BEL,INE263A01024,172
BEML,INE258A01016,1489.65
BEPL,INE922A01025,177
BERGEPAINT,INE463A01038,253.05
BETA,INE351Y01019,170.25
BFINVEST,INE878K01010,316
BFUTILITIE,INE243D01012,496.8
BGLOBAL,INE224M01013,5.65
BGRENERGY,INE661I01014,134.6
BHAGERIA,INE354C01027,327.5
BHAGYANGR,INE458B01036,42.7
BHAGYAPROP,INE363W01018,23.1
BHANDARI,INE474E01029,3.7
BHARATFIN,INE180K01011,1058.6
BHARATFORG,INE465A01025,724.9
BHARATGEAR,INE561C01019,203
BHARATIDIL,INE673G01013,6.45
BHARATIWIN,INF109KB15Y7,38.85
BHARATRAS,INE838B01013,4142
BHARATWIRE,INE316L01019,129.8
BHARTIARTL,INE397D01024,446
BHEL,INE257A01026,103.6
BHUSANSTL,INE824B01021,53.6
BIGBLOC,INE412U01017,138.1
BIL,INE828A01016,491
BILENERGY,INE607L01029,1.7
BILPOWER,INE952D01018,1.85
BINANIIND,INE071A01013,111
BINDALAGRO,INE143A01010,34.35
BIOCON,INE376G01013,631
BIOFILCHEM,INE829A01014,15.5
BIRLACABLE,INE800A01015,54.9
BIRLACORPN,INE340A01012,1175
BIRLAMONEY,INE865C01022,81
BKMINDST,INE831Q01016,42
BLBLIMITED,INE791A01024,6.85
BLISSGVS,INE416D01022,209.55
BLKASHYAP,INE350H01032,56.4
BLS,INE153T01027,213.8
BLUEBLENDS,INE113O01014,33.7
BLUECHIP,INE657B01025,0.2
BLUEDART,INE233B01017,4747
BLUEDART,INE233B08095,10.3
BLUEDART,INE233B08103,10.42
BLUESTARCO,INE472A01039,766.6
BODALCHEM,INE338D01028,160.25
BOMDYEING,INE032A01023,237.7
BOSCHLTD,INE323A01026,19664.95
BPCL,INE029A01011,493.6
BPL,INE110A01019,105.7
BRFL,INE589G01011,74.6
BRIGADE,INE791I01019,292.8
BRITANNIA,INE216A01022,4712.4
BRNL,INE727S01012,185
BROOKS,INE650L01011,105.65
BSE,INE118H01025,902.6
BSELINFRA,INE395A01016,5.65
BSL,INE594B01012,96.35
BSLGOLDETF,INF209K01HT2,2799
BSLIMITED,INE043K01029,1.4
BSLNIFTY,INF209K01IR4,109.75
BURNPUR,INE817H01014,12.4
BUTTERFLY,INE295F01017,603
BVCL,INE139I01011,31.35
BYKE,INE319B01014,193
CADILAHC,INE010B01027,430.4
CADSYS,INE090Y01013,105
CALSOFT,INE526B01014,60.8
CAMLINFINE,INE052I01032,128.5
CANBK,INE476A01014,352
CANDC,INE874H01015,75.8
CANFINHOME,INE477A01020,452.6
CANTABIL,INE068L01016,117
CAPACITE,INE264T01014,364
CAPF,INE688I01017,748.2
CAPLIPOINT,INE475E01026,629
CAPTRUST,INE707C01018,503
CARBORUNIV,INE120A01034,382
CAREERP,INE521J01018,124.65
CARERATING,INE752H01013,1374.9
CASTEXTECH,INE068D01021,5.5
CASTROLIND,INE172A01027,187.15
CCCL,INE429I01024,7.4
CCHHL,INE652F01027,16.75
CCL,INE421D01022,297.7
CDSL,INE736A01011,335.45
CEATLTD,INE482A01020,1864
CEBBCO,INE209L01016,17.7
CELEBRITY,INE185H01016,18.25
CELESTIAL,INE221I01017,18.55
CENTENKA,INE485A01015,330.95
CENTEXT,INE281A01026,6.8
CENTRALBK,INE483A01010,73.75
CENTUM,INE320B01020,673.9
CENTURYPLY,INE348B01021,329
CENTURYTEX,INE055A01016,1405.2
CERA,INE739E01017,3523
CEREBRAINT,INE345B01019,55.8
CESC,INE486A01013,1074.35
CGCL,INE180C01026,113.95
CGPOWER,INE067A01029,92
CHAMBLFERT,INE085A01013,162
CHENNPETRO,INE178A01016,423.35
CHOLAFIN,INE121A01016,1324.9
CHROMATIC,INE662C01015,2.6
CIGNITITEC,INE675C01017,296.5
CIMMCO,INE184C01028,114.95
CINELINE,INE704H01022,99.4
CINEVISTA,INE039B01026,12.15
CIPLA,INE059A01026,608.5
CLEDUCATE,INE201M01011,272.9
CLNINDIA,INE492A01029,646.95
CMICABLES,INE981B01011,263
CMMIPL,INE289S01013,79
CNOVAPETRO,INE672K01025,36
COALINDIA,INE522F01014,304.55
COCHINSHIP,INE704P01017,546.5
COFFEEDAY,INE335K01011,336.8
COLPAL,INE259A01022,1142
COMPINFO,INE070C01037,50
COMPUSOFT,INE453B01029,14.5
CONCOR,INE111A01017,1395
CONSOFINVT,INE025A01027,80.45
CONTROLPR,INE663B01015,470
CORALFINAC,INE558D01021,38.95
CORDSCABLE,INE792I01017,124.9
COROMANDEL,INE169A01031,561
CORPBANK,INE112A01023,38.95
COSMOFILMS,INE757A01017,356
COUNCODOS,INE695B01025,4.45
COX&KINGS,INE008I01026,262.95
CPSEETF,INF457M01133,31.25
CREATIVE,INE985W01018,164.05
CREATIVEYE,INE230B01021,4.75
CREST,INE559D01011,245
CRISIL,INE007A01025,1949.45
CRMFGETF,INF760K01BR1,2765
CROMPTON,INE299U01018,252
CTE,INE627H01017,88.35
CUB,INE491A01021,164
CUBEXTUB,INE144D01012,26.35
CUMMINSIND,INE298A01020,924.4
CUPID,INE509F01011,357.9
