symbol,isin,fmv_31jan2018
IRFC,INE053F07835,1116.05
IRFC,INE053F07900,1142.8
ISFT,INE566K01011,719.2
ISMTLTD,INE732F01019,15.4
ITC,INE154A01025,276
ITDC,INE353K01014,507.95
ITDCEM,INE686A01026,208.9
ITI,INE248A01017,122.35
IVC,INE050B01023,24.7
IVP,INE043C01018,193
IVRCLINFRA,INE875A01025,5.45
IVZINGOLD,INF205K01361,2729.25
IVZINNIFTY,INF205K01DA9,1137
IZMO,INE848A01014,84.95
J&KBANK,INE168A01041,75
JAGRAN,INE199G01027,175
JAGSNPHARM,INE048B01027,35.8
JAIBALAJI,INE091G01018,17.1
JAICORPLTD,INE070D01027,189.25
JAIHINDPRO,INE343D01010,5.3
JAINSTUDIO,INE486B01011,4.9
JALAN,INE349X01015,59.75
JAMNAAUTO,INE039C01032,76.2
JASH,INE039O01011,192.9
JAYAGROGN,INE785A01026,402.6
JAYBARMARU,INE571B01028,524
JAYNECOIND,INE854B01010,10.5
JAYSREETEA,INE364A01020,103.5
JBCHEPHARM,INE572A01028,311.05
JBFIND,INE187A01017,192.6
JBMA,INE927D01028,503.9
JCHAC,INE782A01015,2547.45
JENSONICOL,INE819B01021,6
JETAIRWAYS,INE802G01018,774.95
JETFREIGHT,INE982V01017,113.5
JETKNIT,INE564T01017,110.05
JHS,INE544H01014,72.65
JINDALPHOT,INE796G01012,72.95
JINDALPOLY,INE197D01010,354.5
JINDALSAW,INE324A01024,156
JINDALSTEL,INE749A01030,274
JINDCOT,INE904J01016,9.45
JINDRILL,INE742C01031,194.95
JINDWORLD,INE247D01021,673.4
JISLDVREQS,IN9175A01010,86.35
JISLJALEQS,INE175A01038,145.1
JITFINFRA,INE863T01013,46.25
JKCEMENT,INE823G01014,1126.15
JKIL,INE576I01022,335.25
JKLAKSHMI,INE786A01032,420
JKPAPER,INE789E01012,149.85
JKTYRE,INE573A01042,179.5
JMA,INE412C01015,239.95
JMCPROJECT,INE890A01016,569.95
JMFINANCIL,INE780C01023,167.85
JMTAUTOLTD,INE988E01036,5.3
JOCIL,INE839G01010,191.8
JPASSOCIAT,INE455F01025,20.9
JPINFRATEC,INE099J01015,15.2
JPOLYINVST,INE147P01019,75.2
JPPOWER,INE351F01018,7.15
JSL,INE220G01021,114.8
JSLHISAR,INE455T01018,203.95
JSWENERGY,INE121E01018,88.75
JSWHL,INE824G01012,1713.9
JSWSTEEL,INE019A01038,294
JSWSTEEL,INE019A04024,8.85
JUBILANT,INE700A01033,962.8
JUBLFOOD,INE797F01012,2148.4
JUBLINDS,INE645L01011,224.9
JUNIORBEES,INF732E01045,312.91
JUSTDIAL,INE599M01018,528.9
JVLAGRO,INE430G01026,35.5
JYOTHYLAB,INE668F01031,366.95
JYOTISTRUC,INE197A01024,11
KABRAEXTRU,INE900B01029,128.75
KAJARIACER,INE217B01036,677
KAKATCEM,INE437B01014,373.05
KALPATPOWR,INE220B01022,466
KALYANIFRG,INE314G01014,357.95
KAMATHOTEL,INE967C01018,141.7
KAMDHENU,INE390H01012,247.95
KANANIIND,INE879E01037,9.8
KANORICHEM,INE138C01024,91.85
KANSAINER,INE531A01024,518.9
KARMAENG,INE725L01011,41.85
KARURVYSYA,INE036D01028,111.8
KAUSHALYA,INE234I01010,3.5
KAVVERITEL,INE641C01019,12.5
KAYA,INE587G01015,1040
KCP,INE805C01028,147.7
KCPSUGIND,INE790B01024,29.1
KDDL,INE291D01011,347
KEC,INE389H01022,357.9
KECL,INE134B01017,43.95
KEERTI,INE586X01012,55.9
KEI,INE878B01027,390
KELLTONTEC,INE164B01022,117.9
KERNEX,INE202H01019,55.9
KESARENT,INE133B01019,64.8
KESORAMIND,INE087A01019,140.4
KEYCORPSER,INE681C01015,64.85
KGL,INE299C01024,2.75
KHADIM,INE834I01025,700
KHAITANLTD,INE731C01018,49.75
KHANDSE,INE060B01014,26.05
KICL,INE029L01018,2442.6
KILITCH,INE729D01010,87.05
KINGFA,INE473D01015,1029.9
KIOCL,INE880L01014,349.95
KIRIINDUS,INE415I01015,587.15
KIRLOSBROS,INE732A01036,362
KIRLOSENG,INE146L01010,397.7
KIRLOSIND,INE250A01039,1419.95
KITEX,INE602G01020,294.7
KKCL,INE401H01017,1750
KKVAPOW,INE239T01016,580
KMSUGAR,INE157H01023,18.5
KNRCON,INE634I01029,316.05
KOHINOOR,INE080B01012,76.75
KOKUYOCMLN,INE760A01029,140.8
KOLTEPATIL,INE094I01018,369.85
KOPRAN,INE082A01010,76.6
KOTAKBANK,INE237A01028,1113.2
KOTAKBKETF,INF174K01F59,280.81
KOTAKGOLD,INF373I01049,266.2
KOTAKNIFTY,INF174K014P6,111.8
KOTAKNV20,INF174K01Z71,52.1
KOTAKPSUBK,INF373I01023,379
KOTARISUG,INE419A01022,17.3
KOTHARIPET,INE720A01015,29
KOTHARIPRO,INE823A01017,207
KPIT,INE836A01035,220.65
KPRMILL,INE930H01023,765.95
KRBL,INE001B01026,625
KREBSBIO,INE268B01013,147.2
KRIDHANINF,INE524L01026,121
KRISHANA,INE506W01012,31
KSBPUMPS,INE999A01015,900
KSCL,INE455I01029,518.65
KSERASERA,INE216D01026,0.3
KSK,INE143H01015,16.4
KSL,INE907A01026,349.35
KTIL,INE096L01025,183.9
KTK180DG,INF174K01Y31,11.98
KTKBANK,INE614B01018,149.65
KWALITY,INE775B01025,100.95
L&TFH,INE498L01015,177.65
L&TFINANCE,INE523E07459,1073
L&TINFRA,INE691I07166,986
L&TINFRA,INE691I07174,1655.1
L&TINFRA,INE691I07182,970.55
L&TINFRA,INE691I07190,1622
L&TINFRA,INE691I07224,1050
L&TINFRA,INE691I07232,1688
LAKPRE,INE651C01018,53.7
LAKSHMIEFL,INE992B01026,27.85
LAKSHVILAS,INE694C01018,131.5
LALPATHLAB,INE600L01024,919
LAMBODHARA,INE112F01022,67
LAOPALA,INE059D01020,624.5
LASA,INE670X01014,174.8
LAURUSLABS,INE947Q01010,520.05
LAXMIMACH,INE269B01029,6196.95
LCCINFOTEC,INE938A01021,0.9
LEEL,INE245C01019,284.9
LEXUS,INE500X01013,126
LFIC,INE850E01012,123.25
LGBBROSLTD,INE337A01034,1033
LIBERTSHOE,INE557B01019,244.7
LICHSGFIN,INE115A01026,540.1
LICNETFGSC,INF767K01MV5,16.87
LICNETFN50,INF767K01OS7,114.25
LICNFNHGP,INF767K01PC8,117
LINCOLN,INE405C01035,257.55
LINCPEN,INE802B01019,460
LINDEINDIA,INE473A01011,547.05
LIQUIDBEES,INF732E01037,1000.01
LITL,INE785C01048,1.7
LML,INE862A01015,9.3
LOKESHMACH,INE397H01017,70.75
LOTUSEYE,INE947I01017,33.75
LOVABLE,INE597L01014,229.55
LOWVOLIWIN,INF109KB10T8,84.2
LPDC,INE197J01017,4.8
LSIL,INE093R01011,2.6
LT,INE018A01030,1439.7
LTI,INE214T01019,1371.55
LTTS,INE010V01017,1289
LUMAXIND,INE162B01018,1930
LUMAXTECH,INE872H01019,760.2
LUPIN,INE326A01037,901.7
LUXIND,INE150G01020,1750
LYCOS,INE425B01027,6.3
LYKALABS,INE933A01014,67.6
LYPSAGEMS,INE142K01011,36.85
M&M,INE101A01026,771.15
M&MFIN,INE774D01024,475
M&MFIN,INE774D08MA6,1080
M100,INF247L01023,23.4
M15RG,INF903JA1AL0,8.75
M17RG,INF903JA1BF0,7.3
M50,INF247L01536,106
MAANALU,INE215I01019,158
MADHAV,INE925C01016,65.3
MADHUCON,INE378D01032,32.7
MADRASFERT,INE414A01015,47.25
MAGADSUGAR,INE347W01011,151
MAGMA,INE511C01022,165
MAGNUM,INE387I01016,13.15
MAHABANK,INE457A01014,19.9
MAHASTEEL,INE451L01014,110.3
MAHESHWARI,INE263W01010,175.4
MAHINDCIE,INE536H01010,230.7
MAHLIFE,INE813A01018,505
MAHLOG,INE766P01016,486
MAHSCOOTER,INE288A01013,2700.05
MAHSEAMLES,INE271B01025,518.55
MAITHANALL,INE683C01011,905.6
MAJESCO,INE898S01029,568.8
MALUPAPER,INE383H01017,43.75
MANAKALUCO,INE859Q01017,13.65
MANAKCOAT,INE830Q01018,18.95
MANAKSIA,INE015D01022,69.1
MANAKSTEEL,INE824Q01011,40.5
MANALIPETC,INE201A01024,37.2
MANAPPURAM,INE522D01027,114.85
MANDHANA,INE087J01010,7.8
MANGALAM,INE584F01014,183.5
MANGCHEFER,INE558B01017,74.35
MANGLMCEM,INE347A01017,424.7
MANGTIMBER,INE805B01012,35.2
MANINDS,INE993A01026,131.95
MANINFRA,INE949H01023,65.8
MANPASAND,INE122R01018,392
MANUGRAPH,INE867A01022,53.9
MARALOVER,INE882A01013,42.4
MARATHON,INE182D01012,576.8
MARICO,INE196A01026,315.35
MARKSANS,INE750C01026,42.2
MARUTI,INE585B01010,9585
MASFIN,INE348L01012,642
MASTEK,INE759A01021,493.3
MATRIMONY,INE866R01028,934.95
MAWANASUG,INE636A01039,71.7
MAXINDIA,INE153U01017,115.2
MAXVIL,INE154U01015,83.35
MAYURUNIQ,INE040D01038,504.95
MAZDA,INE885E01034,456
MBAPL,INE900L01010,50
MBECL,INE748A01016,61.85
MBLINFRA,INE912H01013,24.9
MCDHOLDING,INE836H01014,42.35
MCDOWELL-N,INE854D01016,3309.7
MCLEODRUSS,INE942G01012,175.75
MCX,INE745G01035,788
MEGASOFT,INE933B01012,14.7
MEGH,INE974H01013,108.5
MELSTAR,INE817A01019,4.25
MENONBE,INE071D01033,117
MEP,INE776I01010,91.95
MERCATOR,INE934B01028,40.95
MERCK,INE199A01012,1492.45
METALFORGE,INE425A01011,33
METKORE,INE592I01029,3.6
MFSL,INE180A01020,538.85
MGL,INE002S01010,1026.75
MHRIL,INE998I01010,354
MIC,INE287C01029,9.05
MIDCAPIWIN,INF109KB1XT3,76.25
MILTON,INE376Y01016,25
MINDACORP,INE842C01021,205
MINDAIND,INE405E01023,1249.45
MINDTECK,INE110B01017,78
MINDTREE,INE018I01017,779.15
MIRCELECTR,INE831A01028,54
MIRZAINT,INE771A01026,137.3
MKPL,INE964W01013,95
MMFL,INE227C01017,1110
MMTC,INE123F01029,61.95
MOHITIND,INE954E01012,40
MOHOTAIND,INE313D01013,404.7
MOIL,INE490G01020,246.05
MOKSH,INE514Y01012,44.25
MOLDTECH,INE835B01035,72.4
MOLDTKPAC,INE893J01029,359.75
MONNETISPA,INE743C01013,29.85
MONSANTO,INE274B01011,2594.35
MONTECARLO,INE950M01013,607.9
MORARJEE,INE161G01027,55.5
MOREPENLAB,INE083A01026,36.2
MOSERBAER,INE739A01015,5
MOTHERSUMI,INE775A01035,367.55
MOTILALOFS,INE338I01027,1293
MOTOGENFIN,INE861B01015,39.35
MPHASIS,INE356A01018,912
MPSLTD,INE943D01017,593.8
MPTODAY,INE105Y01019,145
MRF,INE883A01011,68798.75
MRO-TEK,INE398B01018,30
MRPL,INE103A01014,130
MSPL,INE752G01015,26
MTEDUCARE,INE472M01018,57
MTNL,INE153A01019,25.85
MUKANDENGG,INE022B01014,51.65
MUKANDLTD,INE304A01026,86.9
MUKANDLTD,INE304A04012,7.5
MUKTAARTS,INE374B01019,89.3
MUNJALAU,INE672B01032,86
MUNJALSHOW,INE577A01027,277.6
MURUDCERA,INE692B01014,48.1
MUTHOOTCAP,INE296G01013,759.9
MUTHOOTFIN,INE414G01012,422
MUTHOOTFIN,INE414G07241,1861.05
MUTHOOTFIN,INE414G07AG6,995.01
MVL,INE744I01034,0.55
N100,INF247L01031,514.99
NABARD,INE261F07032,1175
NACLIND,INE295D01020,55.95
NAGAFERT,INE454M01024,23.4
NAGAROIL,INE453M01018,4.35
NAGREEKCAP,INE245I01016,41.8
NAGREEKEXP,INE123B01028,39.7
NAHARCAP,INE049I01012,176.9
NAHARINDUS,INE289A01011,104.65
NAHARPOLY,INE308A01027,77.95
NAHARSPING,INE290A01027,119.95
NAKODA,INE559B01023,0.5
NANDANI,INE696V01013,103.2
NATCOPHARM,INE987B01026,956.35
NATHBIOGEN,INE448G01010,538.5
NATIONALUM,INE139A01034,77.75
NATNLSTEEL,INE088B01015,43
NAUKRI,INE663F01024,1395
NAVINFLUOR,INE048G01026,820
NAVKARCORP,INE278M01019,185.5
NAVNETEDUL,INE060A01024,148
NBCC,INE095N01023,229.6
NBIFIN,INE365I01020,1681
NBVENTURES,INE725A01022,162.4
NCC,INE868B01028,126.85
NCLIND,INE732C01016,276.75
NDGL,INE756C01015,1649.25
NDL,INE875G01030,146.55
NDTV,INE155G01029,45.75
NECCLTD,INE553C01016,29.45
NECLIFE,INE023H01027,33.55
NELCAST,INE189I01024,87.95
NELCO,INE045B01015,124.45
NESCO,INE317F01035,617.5
NESTLEIND,INE239A01016,7514
NETWORK18,INE870H01013,57.2
NEULANDLAB,INE794A01010,843.6
NEWGEN,INE619B01017,258
NEXTMEDIA,INE747B01016,17.6
NFL,INE870D01012,73.9
NH,INE410P01011,288
NHAI,INE906B07CA1,1098.95
NHAI,INE906B07CB9,1179.99
NHAI,INE906B07DD3,1238.99
NHAI,INE906B07DF8,1280
NHAI,INE906B07EH2,1119
NHAI,INE906B07EI0,1160
NHAI,INE906B07EJ8,1173
NHAI,INE906B07EN0,1067.55
NHAI,INE906B07EP5,1155
NHBTF2014,INE557F07116,5800
NHBTF2014,INE557F07124,6000
NHBTF2014,INE557F07132,6400
NHPC,INE848E01016,30
NHPC,INE848E07559,1285
NHPC,INE848E07567,1330
NIACL,INE470Y01017,639
NIBL,INE047O01014,29
NIF100IWIN,INF109KA1962,122
NIFTYBEES,INF732E01011,1138.5
NIFTYEES,INF754K01EK3,12350
NIFTYIWIN,INF109K012R6,114
NIITLTD,INE161A01038,106.4
NIITTECH,INE591G01017,868
NILAINFRA,INE937C01029,23.2
NILKAMAL,INE310A01015,1850
NIPPOBATRY,INE567A01010,880.1
NITCO,INE858F01012,134
NITESHEST,INE639K01016,16.05
NITINFIRE,INE489H01020,6.4
NITINSPIN,INE229H01012,122.35
NITIRAJ,INE439T01012,77
NKIND,INE542C01019,49.85
NLCINDIA,INE589A01014,104.8
NMDC,INE584A01023,144.6
NOCIL,INE163A01018,212
NOIDATOLL,INE781B01015,14.8
NORBTEAEXP,INE369C01017,7.45
NRAIL,INE740D01017,502.95
NRBBEARING,INE349A01021,165.9
NSIL,INE023A01030,1348
NTL,INE333I01036,4.5
NTPC,INE733E01010,170.95
NTPC,INE733E07JJ9,1285
NTPC,INE733E07JP6,13.65
NTPC,INE733E07JR2,1065
NTPC,INE733E07JW2,1200
NUCLEUS,INE096B01018,456.9
NUTEK,INE318J01027,1.3
NV20IWIN,INF109KB1WY5,51.2
OBEROIRLTY,INE093I01010,540.95
OCCL,INE321D01016,1256.65
OCL,INE290B01025,1388.6
OFSS,INE881D01027,4200
OIL,INE274J01014,364.95
OILCOUNTUB,INE591A01010,52.5
OISL,INE196J01019,4.35
OMAXAUTO,INE090B01011,198.4
OMAXE,INE800H01010,230.25
OMKARCHEM,INE474L01016,74.5
OMMETALS,INE239D01028,68.9
ONELIFECAP,INE912L01015,28
ONEPOINT,INE840Y01011,93.45
ONGC,INE213A01029,204.6
ONMOBILE,INE809I01019,56.3
ONWARDTEC,INE229A01017,105.45
OPTIEMUS,INE350C01017,268.4
OPTOCIRCUI,INE808B01016,11.15
ORBTEXP,INE231G01010,159.95
ORCHIDPHAR,INE191A01019,17.95
ORICONENT,INE730A01022,64.45
ORIENTABRA,INE569C01020,49.5
ORIENTALTL,INE998H01012,16.45
ORIENTBANK,INE141A01014,116.7
ORIENTBELL,INE607D01018,348.4
ORIENTCEM,INE876N01018,152.3
ORIENTHOT,INE750A01020,57.8
ORIENTLTD,INE609C01024,209.8
ORIENTPPR,INE592A01026,48.95
ORIENTREF,INE743M01012,172
ORISSAMINE,INE725E01024,1875
ORTEL,INE849L01019,33.6
ORTINLABSS,INE749B01012,21.85
PAGEIND,INE761H01022,21838.6
PAISALO,INE420C01042,297.9
PALASHSECU,INE471W01019,76
PALREDTEC,INE218G01033,105.9
PANACEABIO,INE922B01023,317
PANACHE,INE895W01019,143.1
PANAMAPET,INE305C01029,222
PANORAMUNI,INE194B01029,11.4
PAPERPROD,INE275B01026,327.4
PARABDRUGS,INE618H01016,8.35
PARACABLES,INE074B01023,13.2
PARAGMILK,INE883N01014,289.2
PARSVNATH,INE561H01026,24.6
PASHUPATI,INE124Y01010,75
PATELENG,INE244B01030,77.4
PATINTLOG,INE529D01014,80.35
PATSPINLTD,INE790C01014,24.6
PBAINFRA,INE160H01019,19.4
PCJEWELLER,INE785M01013,516
PDMJEPAPER,INE865T01018,27.4
PDPL,INE904D01019,21.55
PDSMFL,INE111Q01013,330.15
PDUMJEIND,INE105C01023,14.7
PEARLPOLY,INE844A01013,36
PEL,INE140A01024,2785.9
PENIND,INE932A01024,62.35
PENINLAND,INE138A01028,34.8
PENPEBS,INE455O01019,101.95
PERSISTENT,INE262H01013,799.8
PETRONENGG,INE742A01019,133.45
PETRONET,INE347G01014,259.45
PFC,INE134E01011,118.5
PFC,INE134E07349,1099.8
PFC,INE134E07588,1145.5
PFC,INE134E07190,1095.01
PFC,INE134E07463,1274.99
PFIZER,INE182A01018,2349
PFOCUS,INE367G01038,111
PFS,INE560K01014,35.4
PGEL,INE457L01011,408.5
PGHH,INE179A01014,9364.75
PGIL,INE940H01014,127.7
PHILIPCARB,INE602A01015,1295
PHOENIXLTD,INE211B01039,665
PIDILITIND,INE318A01026,898.5
PIIND,INE603J01030,914.8
PILANIINVS,INE417C01014,3042
PILITA,INE600A01035,16
PINCON,INE675G01018,36.05
PIONDIST,INE889E01010,201.65
PIONEEREMB,INE156C01018,40.9
PITTILAM,INE450D01021,87.5
PKTEA,INE431F01018,599
PLASTIBLEN,INE083C01022,242.9
PNB,INE160A01022,175.2
PNBGILTS,INE859A01011,43.7
PNBHOUSING,INE572E01012,1304.3
PNC,INE392B01011,23.35
PNCINFRA,INE195J01029,188
POCHIRAJU,INE332G01032,6.5
PODDARHOUS,INE888B01018,1176.95
PODDARMENT,INE371C01013,307
POKARNA,INE637C01025,222
POLARIS,INE763A01023,424.7
POLYMED,INE205C01021,255
POLYPLEX,INE633B01018,518
PONNIERODE,INE838E01017,181.05
POWERGRID,INE752E01010,195.3
POWERMECH,INE211R01019,830.8
PPAP,INE095I01015,590
PRABHAT,INE302M01033,221.3
PRADIP,INE495J01015,2.95
PRAENG,INE505C01016,15.4
PRAJIND,INE074A01025,107.95
PRAKASH,INE603A01013,218.9
PRAKASHCON,INE023M01027,7.4
PRATIBHA,INE308H01022,9
PRAXIS,INE546Y01022,315
PRECAM,INE484I01029,119
PRECOT,INE283A01014,83.7
PRECWIRE,INE372C01029,266.5
PREMEXPLN,INE863B01011,440.9
PREMIER,INE342A01018,35.5
PREMIERPOL,INE309M01012,39.95
PRESSMN,INE980A01023,68.5
PRESTIGE,INE811K01011,325
PRICOLLTD,INE726V01018,111.9
PRIMESECU,INE032B01021,50.6
PRISMCEM,INE010A01011,142.7
PROVOGE,INE968G01033,6.6
PROZONINTU,INE195N01013,61.6
PSB,INE608A01012,45.95
PSL,INE474B01017,4.6
PSPPROJECT,INE488V01015,535
PSUBNKBEES,INF732E01110,414.34
PTC,INE877F01012,107.4
PTL,INE034D01031,56.5
PULZ,INE335X01014,48.55
PUNJABCHEM,INE277B01014,442.95
PUNJLLOYD,INE701B01021,23.7
PURVA,INE323I01011,153.1
PUSHPREALM,INE728W01012,82.75
PVP,INE362A01016,7.95
PVR,INE191H01014,1479.45
QGOLDHALF,INF082J01010,1353.9
QNIFTY,INF082J01028,1192.7
QUESS,INE615P01015,1017.9
QUICKHEAL,INE306L01010,351.2
RADAAN,INE874F01027,2.85
RADICO,INE944F01028,381.4
RADIOCITY,INE919I01016,382.55
RAIN,INE855B01025,404.75
RAINBOWPAP,INE028D01025,3.5
RAJESHEXPO,INE343B01030,833.65
RAJOIL,INE294G01018,2.5
RAJRAYON,INE533D01024,0.6
RAJSREESUG,INE562B01019,48.95
RAJTV,INE952H01027,58.2
RAJVIR,INE011H01014,47.55
RALLIS,INE613A01020,252.6
RAMANEWS,INE278B01020,29.35
RAMASTEEL,INE230R01027,274.75
RAMCOCEM,INE331A01037,773.3
RAMCOIND,INE614A01028,297
RAMCOSYS,INE246B01019,509.5
RAMGOPOLY,INE410D01017,4.85
RAMKY,INE874I01013,223.9
RAMSARUP,INE005D01015,2.15
RANASUG,INE625B01014,7.1
RANEENGINE,INE222J01013,593.95
RANEHOLDIN,INE384A01010,2564.8
RATNAMANI,INE703B01027,1067.9
RAYMOND,INE301A01014,1084.55
RBL,INE244J01017,1152.95
RBLBANK,INE976G01028,505.3
RCF,INE027A01015,98.75
RCOM,INE330H01018,31.05
RECLTD,INE020B01018,157.55
RECLTD,INE020B07GW6,1050
RECLTD,INE020B07GX4,1110.75
RECLTD,INE020B07HS2,1205
RECLTD,INE020B07IG5,1235
RECLTD,INE020B07JU4,1120
REDINGTON,INE891D01026,185.7
REFEX,INE056I01017,20.1
REGENCERAM,INE277C01012,7
RELAXO,INE131B01039,640
RELCAPITAL,INE013A01015,510.4
RELCNX100,INF204K014N5,116.82
RELCONS,INF204KA1LD7,52.61
RELDIVOPP,INF204KA1MS3,30.17
RELIABLE,INE375Y01018,62.5
RELIANCE,INE002A01018,964.5
RELIFIN,INE958G07858,1850
RELIGARE,INE621H01010,47.15
RELINFRA,INE036A01016,512.75
REMSONSIND,INE474C01015,88
RENUKA,INE087H01022,16
REPCOHOME,INE612J01015,637.6
REPRO,INE461B01014,750
RESPONIND,INE688D01026,39.4
REVATHI,INE617A01013,698.95
RHFL,INE217K01011,82.5
RHFL,INE217K07AC4,987.05
RHFL,INE217K07AE0,1000
RHFL,INE217K07AG5,1002
RHFL,INE217K08289,999.01
RICOAUTO,INE209B01025,89.5
RIIL,INE046A01015,572
RJL,INE722H01016,326
RKDL,INE722J01012,18.6
RKEC,INE786W01010,136
RKFORGE,INE399G01015,805
RMCL,INE172H01014,27
RMDRIP,INE219Y01018,71
RML,INE050H01012,895.9
RNAM,INE298J01013,290
RNAVAL,INE542F01012,48.75
ROHLTD,INE283H01019,219.4
ROLLT,INE927A01040,6.35
ROLTA,INE293A01013,70.6
ROSSELLIND,INE847C01020,114.9
RPGLIFE,INE105J01010,508.7
RPOWER,INE614G01033,47.7
RPPINFRA,INE324L01013,305.75
RRSLGETF,INF204KB1882,16.81
RSSOFTWARE,INE165B01029,70.9
RSWM,INE611A01016,364
RSYSTEMS,INE411H01032,43
RTNINFRA,INE834M01019,6.5
RTNPOWER,INE399K01017,7.45
RUBYMILLS,INE301D01026,392
RUCHINFRA,INE413B01023,5.25
RUCHIRA,INE803H01014,185.8
RUCHISOYA,INE619A01027,17.4
RUPA,INE895B01021,453.25
RUSHIL,INE573K01017,1004.25
SABEVENTS,INE860T01019,14.2
SABTN,INE416A01036,24.3
SADBHAV,INE226H01026,412.5
SADBHIN,INE764L01010,146.3
SAGCEM,INE229C01013,1019
SAIL,INE114A01011,91.35
SAKAR,INE732S01012,64.8
SAKHTISUG,INE623A01011,24.15
SAKSOFT,INE667G01015,226.55
SAKUMA,INE190H01016,153.8
SALASAR,INE170V01019,312.5
SALONA,INE498E01010,131
SALORAINTL,INE924A01013,52.15
SALSTEEL,INE658G01014,6.85
SALZERELEC,INE457F01013,213.7
SAMBHAAV,INE699B01027,12.75
SAMTEL,INE381A01016,1.5
SANCO,INE782L01012,47.15
SANDESH,INE583B01015,1213
SANGAMIND,INE495C01010,178
SANGHIIND,INE999B01013,125
SANGHVIFOR,INE263L01013,39.7
SANGHVIMOV,INE989A01024,167
SANGINITA,INE753W01010,50
SANOFI,INE058A01010,4975.1
SANWARIA,INE890C01046,24.25
SARDAEN,INE385C01013,558.5
SAREGAMA,INE979A01017,732
SARLAPOLY,INE453D01025,62.8
SASKEN,INE231F01020,777
SASTASUNDR,INE019J01013,118
SATHAISPAT,INE176C01016,28.4
SATIN,INE836B01017,489.95
SBILIFE,INE123W01016,681.5
SBIN,INE062A01020,316.6
SBIN,INE062A08025,11305
SBIN,INE062A08058,11654.95
SCAPDVR,INE224E01036,10.25
SCHAEFFLER,INE513A01014,5585.6
SCHAND,INE807K01035,479.9
SCHNEIDER,INE839M01018,121.5
SCI,INE109A01011,82.3
SDBL,INE480C01012,257.3
SEAMECLTD,INE497B01018,175.5
SECURCRED,INE195Y01010,212.5
SELAN,INE818A01017,226
SELMCL,INE105I01012,3.1
SENSEXIWIN,INF346A01034,375.08
SEPOWER,INE735M01018,9.25
SEQUENT,INE807F01027,88.55
SERVALL,INE431L01016,1.95
SERVOTECH,INE782X01017,38
SESHAPAPER,INE630A01016,1050
SETCO,INE878E01021,67.65
SETFGOLD,INF200K01099,2757
SETFNIF50,INF200KA1FS1,115
SETFNIFBK,INF200KA1580,275.5
SETFNN50,INF200KA1598,311
SEZAL,INE955I01036,4.4
SFL,INE916U01025,1607.5
SGBAUG24,IN0020160027,2822
SGBDEC25,IN0020170125,2972
SGBDEC2513,IN0020170158,2706
SGBFEB24,IN0020150101,2800
SGBJUL25,IN0020170034,2805
SGBMAR25,IN0020160126,2788
SGBMAY25,IN0020170018,2788
SGBNOV23,IN0020150085,2870
SGBNOV24,IN0020160076,2801
SGBOCT25,IN0020170059,2752
SGBSEP24,IN0020160043,2825
SGL,INE353H01010,19.2
SHAHALLOYS,INE640C01011,22.15
SHAKTIPUMP,INE908D01010,542
SHALBY,INE597J01018,242
SHALPAINTS,INE849C01026,194
SHANKARA,INE274V01019,1720.95
SHANTI,INE933X01016,43.5
SHANTIGEAR,INE631A01022,151.9
SHARDACROP,INE221J01015,444.9
SHARDAMOTR,INE597I01010,2350
SHARIABEES,INF732E01128,270
SHARONBIO,INE028B01029,6.95
SHEMAROO,INE363M01019,535
SHILPAMED,INE790G01031,578.8
SHILPI,INE510K01019,11.45
SHIRPUR-G,INE196B01016,165.1
SHIVAMAUTO,INE637H01024,85.5
SHIVATEX,INE705C01020,616.3
SHK,INE500L01026,305.6
SHOPERSTOP,INE498B01024,525
SHRADHA,INE715Y01015,69.45
SHREECEM,INE070A01015,17522.15
SHREEPUSHK,INE712K01011,276.8
SHREERAMA,INE879A01019,14.4
SHRENIK,INE632X01014,646
SHREYANIND,INE231C01019,190.9
SHREYAS,INE757B01015,594.9
SHRIPISTON,INE526E01018,1800
SHRIRAMCIT,INE722A01011,2069
SHRIRAMCIT,INE722A07471,1057
SHRIRAMEPC,INE964H01014,29.6
SHYAMCENT,INE979R01011,11.8
SICAGEN,INE176J01011,46.95
SICAL,INE075B01012,221.9
SIEMENS,INE003A01024,1331.3
SIGNET,INE529F01027,8.3
SIIL,INE971P01012,65.7
SIKKO,INE112X01017,35.5
SIL,INE173A01025,23.4
SILINV,INE923A01015,485
SILLYMONKS,INE203Y01012,162
SILVERTUC,INE625X01018,122.5
SIMBHALS,INE748T01016,23.25
SIMPLEX,INE898F01018,36.25
SIMPLEXINF,INE059B01024,610
SINTEX,INE429C01035,23.4
SIS,INE285J01010,1216
SITASHREE,INE686I01011,4.95
SITINET,INE965H01011,23.55
SIYSIL,INE076B01028,700
SJVN,INE002L01015,34.6
SKFINDIA,INE640A01023,1802
SKIL,INE429F01012,48.05
SKIPPER,INE439E01022,247.9
SKMEGGPROD,INE411D01015,84.5
SKML,INE672X01010,58
SKSTEXTILE,INE507Y01016,95.5
SMARTLINK,INE178C01020,119.7
SMLISUZU,INE294B01019,848
SMPL,INE215G01021,1.65
SMSLIFE,INE320X01016,421.95
SMSPHARMA,INE812G01025,100
SMVD,INE702Y01013,39
SNOWMAN,INE734N01019,57.3
SOBHA,INE671H01015,575.5
SOLARINDS,INE343H01029,1094
SOMANYCERA,INE355A01028,760.55
SOMATEX,INE314C01013,14.65
